cnae,descricao,secao,divisao,anexo,fator_r,pode_mei,risco_cgsim,veredito,orgaos_conselho,orgaos_setorial,debativel,confianca,motivos
"4322-3/01","INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS","F","43","III/IV","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4322-3/02","INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO","F","43","III/IV","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4322-3/03","INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO","F","43","III/IV","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4329-1/01","INSTALAÇÃO DE PAINÉIS PUBLICITÁRIOS","F","43","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4329-1/02","INSTALAÇÃO DE EQUIPAMENTOS PARA ORIENTAÇÃO À NAVEGAÇÃO MARÍTIMA FLUVIAL E LACUSTRE","F","43","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4329-1/03","INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES","F","43","III/IV","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4329-1/04","MONTAGEM E INSTALAÇÃO DE SISTEMAS E EQUIPAMENTOS DE ILUMINAÇÃO E SINALIZAÇÃO EM VIAS PÚBLICAS, PORTOS E AEROPORTOS","F","43","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4329-1/05","TRATAMENTOS TÉRMICOS, ACÚSTICOS OU DE VIBRAÇÃO","F","43","III/IV","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4399-1/01","ADMINISTRAÇÃO DE OBRAS","F","43","III/V","sim","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4399-1/02","MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORÁRIAS","F","43","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4511-1/01","COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS","G","45","I","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4512-9/01","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE VEÍCULOS AUTOMOTORES","G","45","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4520-0/01","SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES","G","45","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4520-0/02","SERVIÇOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEÍCULOS AUTOMOTORES","G","45","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4520-0/03","SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO ELÉTRICA DE VEÍCULOS AUTOMOTORES","G","45","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4520-0/04","SERVIÇOS DE ALINHAMENTO E BALANCEAMENTO DE VEÍCULOS AUTOMOTORES","G","45","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4520-0/05","SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE VEÍCULOS AUTOMOTORES","G","45","III/IV","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4520-0/06","SERVIÇOS DE BORRACHARIA PARA VEÍCULOS AUTOMOTORES","G","45","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4520-0/07","SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","G","45","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4520-0/08","SERVIÇOS DE CAPOTARIA","G","45","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4530-7/03","COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES","G","45","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4530-7/04","COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES","G","45","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4530-7/05","COMÉRCIO A VAREJO DE PNEUMÁTICOS E CÂMARAS DE AR","G","45","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4530-7/06","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE PEÇAS E ACESSÓRIOS NOVOS E USADOS PARA VEÍCULOS AUTOMOTORES","G","45","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4541-2/03","COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS","G","45","I","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4541-2/04","COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS","G","45","I/III/V","sim","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4541-2/06","COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA MOTOCICLETAS E MOTONETAS","G","45","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4541-2/07","COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA MOTOCICLETAS E MOTONETAS","G","45","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4542-1/01","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MOTOCICLETAS E MOTONETAS, PEÇAS E ACESSÓRIOS","G","45","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4543-9/00","MANUTENÇÃO E REPARAÇÃO DE MOTOCICLETAS E MOTONETAS","G","45","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4611-7/00","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MATÉRIAS PRIMAS AGRÍCOLAS E ANIMAIS VIVOS","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4612-5/00","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE COMBUSTÍVEIS, MINERAIS, PRODUTOS SIDERÚRGICOS E QUÍMICOS","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4613-3/00","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MADEIRA, MATERIAL DE CONSTRUÇÃO E FERRAGENS","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4614-1/00","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MÁQUINAS, EQUIPAMENTOS, EMBARCAÇÕES E AERONAVES","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4615-0/00","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE ELETRODOMÉSTICOS, MÓVEIS E ARTIGOS DE USO DOMÉSTICO","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4616-8/00","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE TÊXTEIS, VESTUÁRIO, CALÇADOS E ARTIGOS DE VIAGEM","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4617-6/00","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4618-4/01","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MEDICAMENTOS, COSMÉTICOS E PRODUTOS DE PERFUMARIA","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4618-4/02","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE INSTRUMENTOS E MATERIAIS ODONTO MÉDICO HOSPITALARES","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4618-4/03","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE JORNAIS, REVISTAS E OUTRAS PUBLICAÇÕES","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4618-4/99","OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO ESPECIALIZADO EM PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4619-2/00","REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MERCADORIAS EM GERAL NÃO ESPECIALIZADO","G","46","III/V","sim","nao","baixo_a","tato-registro","CORE (representação comercial)","","","media-alta","conselho: CORE (representação comercial)"
"4711-3/01","COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS   HIPERMERCADOS","G","47","I","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4711-3/02","COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS","G","47","I","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4712-1/00","COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4713-0/02","LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4713-0/04","LOJAS DE DEPARTAMENTOS OU MAGAZINES, EXCETO LOJAS FRANCAS (DUTY FREE)","G","47","I","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4721-1/02","PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4721-1/03","COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS","G","47","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4721-1/04","COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4722-9/02","PEIXARIA","G","47","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4723-7/00","COMÉRCIO VAREJISTA DE BEBIDAS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4724-5/00","COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS","G","47","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4729-6/01","TABACARIA","G","47","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4729-6/02","COMÉRCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIÊNCIA","G","47","I","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4729-6/99","COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
