code,friendly_title,friendly_description
6391700,Agência de notícias,"Apuração, produção e distribuição de material noticioso para veículos de imprensa."
7722500,Locadora de filmes e mídias,"Aluguel de DVD, Blu-ray, CD e cartuchos de videogame."
7723300,"Aluguel de roupas, joias e acessórios","Aluguel de roupa, traje de festa, enxoval de noiva, calçado, joia e acessório."
7210000,Pesquisa em ciências exatas e naturais,"Pesquisa e desenvolvimento em agronomia, biologia, biomedicina, física, química e áreas afins."
7311400,Agência de publicidade,"Criação de campanha publicitária, propaganda e material de anúncio para clientes."
7312200,Venda de espaço publicitário,"Aluguel e revenda de espaço físico para publicidade: outdoor, busdoor, cartaz e painel. Não cobre espaço em rádio, TV e jornal."
7319002,Promoção de vendas,"Demonstração de produto em ponto de venda, panfletagem e distribuição de material promocional."
7319003,Marketing direto,"Marketing e publicidade por mala direta, telefone e canais diretos com o cliente."
7319004,Consultoria em publicidade,"Consultoria e assessoria em marketing, branding e gestão de marca."
7320300,Pesquisa de mercado e de opinião,"Levantamento e análise de dados de mercado e de opinião pública, incluindo a análise estatística."
7410202,Design de interiores,"Projeto e decoração de ambientes, além de vitrine e organização visual de loja."
7410203,Design de produto,"Desenho industrial e criação de produto, roupa, joia e maquete."
7410299,Design gráfico e outros designs,"Criação de logotipo, identidade visual, arte gráfica digital e design de jogos, sem a programação."
7420001,Fotografia,"Fotografia em estúdio, de evento, de imprensa e por conta própria. Não cobre foto aérea nem submarina."
7420003,Laboratório e revelação fotográfica,"Revelação de fotos, montagem de slides e edição de imagem fotográfica."
7420004,Filmagem de festas e eventos,"Gravação e produção de vídeo de festa, casamento e evento cultural."
7420005,Microfilmagem e digitalização de acervo,Microfilmagem de documentos e acervos.
7490101,Tradução e interpretação,"Tradução de textos, interpretação, revisão gramatical e copywriting."
7490104,Intermediação de negócios e representação,"Aproximar quem compra e quem vende: intermediação de contratos, serviços e negócios em geral. Não cobre negócio imobiliário."
7490105,Agenciamento de atletas e artistas,"Empresariamento de atleta, ator, modelo e artista para atividade esportiva, cultural ou artística."
7721700,Aluguel de equipamento esportivo e de lazer,"Aluguel de bicicleta, barco de lazer, pula-pula, tobogã e brinquedo não eletrônico, sem operar o equipamento."
7729299,Aluguel de outros objetos pessoais e domésticos,"Aluguel de itens que não cabem nas outras listas: livros, plantas e flores, peruca, decoração de Natal."
7733100,Aluguel de equipamento de escritório,"Aluguel de computador, celular, data-show, caixa registradora e máquina de escritório."
8591100,Aulas de esporte,"Escolinha e aulas de futebol, natação, artes marciais, capoeira, atletismo e outros esportes."
8220200,Teleatendimento e call center,"Atendimento a clientes por telefone para outras empresas: SAC, central de atendimento e call center."
8592901,Aulas de dança,"Aulas e academia de dança: balé, dança de salão, dança popular e folclórica."
8211300,Serviços de escritório e apoio administrativo,"Recepção, arquivo de documentos e apoio operacional combinados, para empresas e profissionais liberais."
8219901,Fotocópias e impressão,"Xerox, cópia, digitalização e impressão de documentos."
8230001,Organização de eventos e festas,"Organização de feira, congresso, exposição, festa infantil e festa de família, e a gestão do espaço do evento."
8291100,Cobrança e consulta cadastral,"Cobrança de faturas e dívidas para terceiros, análise de cadastro e aprovação de crédito."
8292000,Envase e empacotamento para terceiros,"Envasar, fracionar e empacotar produtos de outras empresas, sob contrato."
8299703,Gravação de carimbos,"Gravação de carimbos. Não cobre a fabricação do carimbo, que é indústria."
8299707,Lan house e sala de internet,"Sala com computadores para acesso à internet, digitação, escaneamento e apoio administrativo."
8599603,Curso de informática,"Aulas e cursos de informática, computador e uso da internet."
8599604,Curso profissionalizante e de gestão,"Cursos de capacitação profissional, aperfeiçoamento e treinamento gerencial, presenciais ou a distância."
8599605,Curso preparatório para concursos,"Cursinho para concurso público, vestibular e ENEM."
8592902,Aulas de teatro e artes cênicas,"Aulas de teatro, impostação de voz e direção de espetáculo. Não cobre dança nem curso de nível técnico ou superior."
8592903,Aulas de música,"Aulas de música e conservatório, sem ser curso superior."
8592999,Aulas de arte e cultura,"Aulas de artesanato, pintura, escultura e outras artes não listadas em outra atividade."
8593700,Aulas de idiomas,"Cursos de inglês, espanhol, francês e outros idiomas, incluindo exame de proficiência."
9609202,Agência matrimonial,Agência de casamento e de encontros.
9529103,Conserto de relógios,"Conserto de relógio, cronômetro e artigos de relojoaria."
9002702,Restauração de obras de arte,"Restauração de quadro, escultura, imagem sacra e objeto de arte."
9001901,Produção de teatro,"Companhia de teatro, ator independente e produção de espetáculo teatral."
9001902,Produção musical,"Banda, cantor, intérprete, autoria e arranjo musical."
9001903,Produção de espetáculo de dança,"Companhia e conjunto de dança, incluindo dança folclórica, e a produção do espetáculo."
9001904,Produção de circo e teatro de bonecos,"Circo, espetáculo circense, fantoche e marionete."
9002701,"Artista plástico, jornalista ou escritor","Trabalho independente de artista plástico, escritor, jornalista, cartunista, caligrafista e criador de desenho animado."
9102302,Restauração de prédios históricos,Conservação e restauro de prédio tombado e imóvel de valor histórico. Não cobre o projeto de arquitetura.
9319101,Organização de eventos esportivos,"Produção e promoção de competição esportiva, além de associação e federação de esporte."
9329803,Salão de sinuca e bilhar,Exploração de mesa de sinuca e bilhar no seu ponto.
9329804,Fliperama e jogos eletrônicos,"Exploração de fliperama, jogo eletrônico e cyber café com foco em jogos."
9511800,Conserto de computadores,"Assistência técnica em computador, notebook e equipamento de informática."
9512600,Conserto de celulares e equipamentos de comunicação,"Conserto de celular, telefone, câmera de vídeo e equipamento de comunicação."
9521500,Conserto de eletrodomésticos e eletrônicos,"Conserto de eletrodoméstico, eletrônico de uso pessoal, antena e alarme residencial."
9529101,Conserto de calçados e bolsas,"Sapataria: conserto e renovação de calçado, bolsa e artigo de viagem."
9529102,Chaveiro,Cópia de chave e conserto de fechadura e cadeado.
9529104,Conserto de bicicletas,"Oficina de bicicleta, bicicleta elétrica, triciclo e cadeira de rodas não motorizada."
9529105,Conserto e restauro de móveis,"Conserto de móvel, armário, tapeçaria e estofamento."
9529106,Conserto de joias,Conserto e gravação em joias.
9529199,Conserto de outros objetos pessoais e domésticos,"Conserto que não cabe nas outras listas: amolar facas e cutelaria, artigos de borracha, acessórios de roupa."
9602501,"Cabeleireiro, manicure e pedicure","Salão de beleza, barbearia, corte, alisamento, manicure, pedicure e podologia."
7490199,Outros serviços profissionais e técnicos,"Consultoria técnica que não cabe nas outras listas: culinária, moda e imagem pessoal, projetos culturais, sommelier."
8219999,Preparação de documentos e apoio administrativo,"Redação e conferência de texto, elaboração de crachá e cartão de visita, assessoria para visto e passaporte."
6319400,Portal de conteúdo e sites de informação,"Portal de conteúdo na internet, gestão de redes sociais para terceiros e banco de informação para consulta."
