cnae,descricao,secao_id,secao,divisao_id,classe_id,anexo_base,anexo_just,fator_r,aliquota_inicial,contabilizei_atende,contabilizei_just
6611804,ADMINISTRAÇÃO DE MERCADOS DE BALCÃO ORGANIZADOS,K,"Atividades Financeiras, De Seguros E Serviços Relacionados",66,66118,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0111301,CULTIVO DE ARROZ,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01113,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0111302,CULTIVO DE MILHO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01113,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0111303,CULTIVO DE TRIGO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01113,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
7729201,ALUGUEL DE APARELHOS DE JOGOS ELETRÔNICOS,N,Atividades Administrativas E Serviços Complementares,77,77292,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0111399,CULTIVO DE OUTROS CEREAIS NÃO ESPECIFICADOS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01113,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0112101,CULTIVO DE ALGODÃO HERBÁCEO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01121,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0112102,CULTIVO DE JUTA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01121,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0112199,CULTIVO DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01121,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0113000,CULTIVO DE CANA DE AÇÚCAR,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01130,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0114800,CULTIVO DE FUMO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01148,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0115600,CULTIVO DE SOJA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01156,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0116401,CULTIVO DE AMENDOIM,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01164,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0116402,CULTIVO DE GIRASSOL,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01164,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0116403,CULTIVO DE MAMONA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01164,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133406,CULTIVO DE GUARANÁ,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0721901,EXTRAÇÃO DE MINÉRIO DE ALUMÍNIO,B,Indústrias Extrativas,07,07219,II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0116499,CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01164,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119901,CULTIVO DE ABACAXI,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119902,CULTIVO DE ALHO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119903,CULTIVO DE BATATA INGLESA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119904,CULTIVO DE CEBOLA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119905,CULTIVO DE FEIJÃO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119906,CULTIVO DE MANDIOCA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119907,CULTIVO DE MELÃO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119908,CULTIVO DE MELANCIA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119909,CULTIVO DE TOMATE RASTEIRO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133403,CULTIVO DE CAJU,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0151203,"CRIAÇÃO DE BOVINOS, EXCETO PARA CORTE E LEITE",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01512,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133404,"CULTIVO DE CÍTRICOS, EXCETO LARANJA",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133405,CULTIVO DE COCO DA BAÍA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0119999,CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01199,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0121101,"HORTICULTURA, EXCETO MORANGO",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01211,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0121102,CULTIVO DE MORANGO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01211,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0122900,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01229,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0131800,CULTIVO DE LARANJA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01318,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0132600,CULTIVO DE UVA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01326,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133401,CULTIVO DE AÇAÍ,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133402,CULTIVO DE BANANA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0139301,CULTIVO DE CHÁ DA ÍNDIA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01393,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133407,CULTIVO DE MAÇÃ,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133408,CULTIVO DE MAMÃO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133409,CULTIVO DE MARACUJÁ,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133410,CULTIVO DE MANGA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133411,CULTIVO DE PÊSSEGO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0133499,CULTIVO DE FRUTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01334,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0134200,CULTIVO DE CAFÉ,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01342,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0135100,CULTIVO DE CACAU,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01351,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0139302,CULTIVO DE ERVA MATE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01393,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0139303,CULTIVO DE PIMENTA DO REINO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01393,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0152103,CRIAÇÃO DE ASININOS E MUARES,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01521,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0721902,BENEFICIAMENTO DE MINÉRIO DE ALUMÍNIO,B,Indústrias Extrativas,07,07219,II,indústria (regra por seção),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0139304,"CULTIVO DE PLANTAS PARA CONDIMENTO, EXCETO PIMENTA DO REINO",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01393,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0139305,CULTIVO DE DENDÊ,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01393,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0139306,CULTIVO DE SERINGUEIRA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01393,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0139399,CULTIVO DE OUTRAS PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01393,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0141501,"PRODUÇÃO DE SEMENTES CERTIFICADAS, EXCETO DE FORRAGEIRAS PARA PASTO",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01415,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0141502,PRODUÇÃO DE SEMENTES CERTIFICADAS DE FORRAGEIRAS PARA FORMAÇÃO DE PASTO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01415,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0142300,"PRODUÇÃO DE MUDAS E OUTRAS FORMAS DE PROPAGAÇÃO VEGETAL, CERTIFICADAS",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01423,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0151201,CRIAÇÃO DE BOVINOS PARA CORTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01512,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0151202,CRIAÇÃO DE BOVINOS PARA LEITE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01512,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0161002,SERVIÇO DE PODA DE ÁRVORES PARA LAVOURAS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01610,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0152101,CRIAÇÃO DE BUFALINOS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01521,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0152102,CRIAÇÃO DE EQÜINOS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01521,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0153901,CRIAÇÃO DE CAPRINOS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01539,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0153902,"CRIAÇÃO DE OVINOS, INCLUSIVE PARA PRODUÇÃO DE LÃ",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01539,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0154700,CRIAÇÃO DE SUÍNOS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01547,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0155501,CRIAÇÃO DE FRANGOS PARA CORTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01555,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0155502,PRODUÇÃO DE PINTOS DE UM DIA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01555,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0155503,"CRIAÇÃO DE OUTROS GALINÁCEOS, EXCETO PARA CORTE",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01555,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0155504,"CRIAÇÃO DE AVES, EXCETO GALINÁCEOS",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01555,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0155505,PRODUÇÃO DE OVOS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01555,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0159801,APICULTURA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01598,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0159802,CRIAÇÃO DE ANIMAIS DE ESTIMAÇÃO,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01598,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0159803,CRIAÇÃO DE ESCARGÔ,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01598,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0159804,CRIAÇÃO DE BICHO DA SEDA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01598,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0159899,CRIAÇÃO DE OUTROS ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01598,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0161001,SERVIÇO DE PULVERIZAÇÃO E CONTROLE DE PRAGAS AGRÍCOLAS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01610,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0210106,CULTIVO DE MUDAS EM VIVEIROS FLORESTAIS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",02,02101,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0161003,"SERVIÇO DE PREPARAÇÃO DE TERRENO, CULTIVO E COLHEITA",A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01610,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0210107,EXTRAÇÃO DE MADEIRA EM FLORESTAS PLANTADAS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",02,02101,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0210109,PRODUÇÃO DE CASCA DE ACÁCIA NEGRA - FLORESTAS PLANTADAS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",02,02101,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0161099,ATIVIDADES DE APOIO À AGRICULTURA NÃO ESPECIFICADAS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01610,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0162801,SERVIÇO DE INSEMINAÇÃO ARTIFICIAL DE ANIMAIS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01628,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0162802,SERVIÇO DE TOSQUIAMENTO DE OVINOS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01628,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0162803,SERVIÇO DE MANEJO DE ANIMAIS,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01628,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0162899,ATIVIDADES DE APOIO À PECUÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01628,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
0163600,ATIVIDADES DE PÓS COLHEITA,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aqüicultura",01,01636,III/IV/V*,serviço — anexo exato depende da atividade + Fator R (determinar na camada fiscal),,,nao,divisão/classe recusada (mapeado das 17 categorias do suporte)
